iter	R2	RMSE
0	0.1588213203	0.04680881695
1	0.2893017541	0.04302552302
2	0.3952229528	0.03969000802
3	0.4814504218	0.03675180548
4	0.5516051667	0.03417541811
5	0.608516546	0.03193303833
6	0.6551484707	0.02997088828
7	0.6933450142	0.0282623683
8	0.7243943962	0.02679338339
9	0.7499231612	0.02552232719
10	0.7706866465	0.02443983161
11	0.7875287752	0.02352521479
12	0.8012043082	0.02275553344
13	0.8125515108	0.02209655191
14	0.8218080839	0.02154405928
15	0.8294514279	0.02107694103
16	0.8356245241	0.02069197992
17	0.8406885821	0.02037074855
18	0.8448946703	0.02010003887
19	0.8483592972	0.01987428123
20	0.8512302126	0.01968524878
21	0.8536235598	0.01952626267
22	0.8555973726	0.01939416492
23	0.857168629	0.01928836159
24	0.8585242769	0.01919660806
25	0.8596487631	0.01912016601
26	0.8606810799	0.01904971955
27	0.8615486425	0.018990314
28	0.8622127321	0.01894471521
29	0.8627618156	0.0189069301
30	0.8632892782	0.01887056158
31	0.8636845719	0.01884326008
32	0.8640246115	0.0188197431
33	0.8643116557	0.01879986835
34	0.8646190032	0.01877856451
35	0.864868252	0.01876127001
36	0.8650685424	0.01874736101
37	0.8652769945	0.01873287426
38	0.8654268544	0.01872245255
39	0.8655501632	0.01871387294
40	0.8656850835	0.0187044809
41	0.8658112103	0.01869569673
42	0.865910801	0.01868875776
43	0.8659890187	0.01868330615
44	0.8660686792	0.01867775234
45	0.866149717	0.01867210081
46	0.8662231385	0.01866697896
47	0.8662814625	0.01866290931
48	0.8663510598	0.01865805187
49	0.8664111165	0.0186538593
50	0.8664577215	0.01865060514
51	0.8664955196	0.0186479655
52	0.8665482057	0.01864428553
53	0.8665913544	0.01864127117
54	0.8666153572	0.01863959413
55	0.8666533092	0.01863694218
56	0.8666967246	0.018633908
57	0.8667562463	0.01862974739
58	0.866793237	0.01862716124
59	0.8668325834	0.01862441001
60	0.8668664772	0.01862203972
61	0.8668918742	0.01862026343
62	0.8669247786	0.01861796182
